3.LPO and GRN Dashboard based on Gross Amount Data 		
Project	PO_Value	GRN_Value
P. 321 QSTF IV	69076.021	59931.595
P. 322 NGF2	200107.107	97531.59
P. 323 OIUC	121156.642	62846.968
P. 325 SNF	148186.426	87103.17
P. 326 BWA	621005.729	35247.759
P. 328 ABK	9094510.86	498086.241
P. 329 NPA	11791.8	6532.286
P. 329 WPCA	20194033.8	14516296.37
P. 331 ABD	2542216.932	1798661.847
P. 333 NPC II	1611003.826	1282081.677
P. 334 CBA	4600153.917	3681144.429
P. 335 QSTF-V	1446207.335	993850.418
P. 336 OCG	321442.321	182336.283
P. 337 CPK	131473.314	85069.256
P. 338 OWA	3931505.436	1195109.174
P. 339 QSTF VI	280888.359	186819.742
P. 340 CRB	1935142.627	1373163.149
P. 341 MDP	20266334.88	13855854.96
P. 342 WPCA-II	187860.467	151957.523
P. 343 VWA	8420.893	4341.826
P. 344 HRHQ III	111141.124	70298.22
P. 346 MDP II	17987725.1	11847089.25
P. 347 RPG	13593.406	8422.309
P. 348 HPG	12373628.33	9865324.27
P. 349 DPC-II	1532921.215	658670.277
P. 350 NPC III	2018583.053	1550483.465
P. 351 HTI	2012283.877	1360208.654
P. 352 STF-IV	120720.503	74132.065
P. 353 RSTF-IV	97360.16	67446.867
P. 354 SSTF-III	154524.65	97940.69
P. 355 ISTF-III	105332.362	73461.427
P. 356 ASTF-III	148523.56	78222.092
P. 357 DSTF-II	118546.927	83810.02
P. 358 KSTF-III	142697.205	82607.62
P. 359 KTI	1494697.875	1082692.177
P. 360 AFT	137976.013	88570.182
P. 361 PPQ	2268814.716	1488346.508
P. 362 SPB	25436.338	4104.138
P. 363 ISHC	20726516.15	12647137.64
P. 364 BFH	173032.807	101613.11
P. 366 MNB	511.5	500
P. 368 NPC IV	21829.536	18506.496
P. 369 BCA	6678682.228	4646821.444
P. 370 WPCA-IV	166021.072	110686.064
P. 371 IWA	3736036.329	2016304.736
P. 372 TBR	45584.304	21663.287
P. 373 WSD	35648.377	18175.834
P. 374 AHA	257576.265	83397.933
P. 375 DTV	71521.71	55877.355
P. 376 CIS	6115838.375	4849688.98
P. 378 SRV	6406079.294	4405878.975
P. 380 CLO	88607.215	70202.267
P. 381 ACA	18191.901	12109.12
P. 382 MCM	542.106	515.3
P. 383 EAB	6398341.26	5054733.554
P. 384 WPCA-V	15817.476	7842.818
P. 385 DGS	50815.301	14239.386
P. 386 MGS	118503.314	66236.553
P. 387 RRK	4610887.476	3220317.329
P. 388 MPM	4597304.259	3538103.745
P. 389 PWB	277451.441	255274.38
P. 390 ABH	910169.376	722588.177
P. 391 PPM	10498026.37	6178234.437
P. 392 CLA	7290368.928	5302605.943
P. 393 CRO	113195.405	84211.054
P. 394 - APH	13275.566	7648.643
P. 395 ACL	3413.947	2902.058
P. 396 TIS	4829472.636	3816067.532
P. 397 MWG	54488.714	32800.165
P. 398 - ISHC-III	1956571.029	1115031.977
P. 399 DBK	8770407.576	3095127.038
P. 400 CSD	821392.653	666361.733
P. 401 RBA	54077.656	32188.857
P. 402 IGA	816815.509	299843.633
P. 403 ZRB	1456598.981	558579.36
P. 404 YRS	116715.878	21838.459
P. 405 RAM	11611.859	11087.364
P. 406 RMV	253.2	238.4
P. 407 CRV	151752.17	11814.773
P. 409 AMD	3756.805	0
P. 410 CMS	3040.01	1026
PD	8906.4	4548.7
PID. 101	54	54
PMAINT	1387100.411	407431.714
PMV	1738143.838	1531136.582
PT. 104 SCK	191.193	191.192
PT. 105 LUQ	316.4	218.412
PT. 106 KPW	485.5	485.5
PT. 107 ISHC	4844.71	3827.8
PT. 108 BPR	8214.758	7945.486
PT. 109 BPM	8556	5472.697
R. 101 SPB	46279.293	18536.968
R. 102 MNB	5505.236	648.27
R. 104 TBR	1423447.271	991688.439
R. 105 RWA	18634.235	6395.95
R. 106 MVP	61289.903	26108.596
RNS	664544.672	446832.009
SCAFFOLD	4166203.974	2170755.856
T. 101 SCG	187223.531	105857.233
T. 102 NAK	4584079.588	3178883.454
T. 103 DQM	404.51	401.567
T. 104 SCK	411379.5	170224.762
T. 105 LUQ	21180	17699.06
T. 106 KPW	58545.568	7967.868
T. 107 ISHC	472284.2	336019.8
T. 108 BPR	1300210.166	875150.792
T. 109 BPM	1031182.75	756241.484
T. 110 BPK	338773.487	243550.617
TC. BNS	4602.211	4188.2
TCSHO	131703.4	131681.4
TFF. 100 - NGF	402456.956	178260.421
TFHO	1080230.909	894535.626
TI. 101 CRD	7555.001	3915
TRANSPORT	11976826.56	8862825.645
WMF	1315589.443	1276589.073
